"Table with row headers in column A and column headers in rows 8 through 9, 87 through 88, 166 through 167, and 245 through 246",,,,,
Table F-7. Type of Family--All Families by Median and Mean Income: 1947 to 2020,,,,,
All Families,,,,,
"Type of family
and year",Number (thousands),Median income,,Mean income,
1989,"66,090","34,213","69,152","41,506","83,892"
1988,"65,837","32,191","67,909","38,608","81,446"
1987 (21),"65,204","30,970","67,694","36,884","80,620"
1986,"64,491","29,458","66,604","34,924","78,962"
1985 (20),"63,558","27,735","63,806","32,944","75,789"
1984 (19),"62,706","26,433","62,898","31,052","73,889"
1983,"61,997","24,580","60,923","28,638","70,981"
1982,"61,393","23,433","60,560","27,391","70,789"
1981,"61,019","22,388","61,354","25,838","70,808"
1980,"60,309","21,023","63,052","23,974","71,903"
1979 (18),"59,550","19,587","65,324","22,316","74,426"
1978,"57,804","17,640","64,410","20,091","73,359"
1977,"57,215","16,009","62,463","18,264","71,261"
1976 (17),"56,710","14,958","62,046","16,870","69,977"
1975 (16),"56,245","13,719","60,180","15,546","68,195"
1974 (16)(15),"55,698","12,902","61,248","14,711","69,836"
1973,"55,053","12,051","62,929","13,622","71,133"
1972 (14),"54,373","11,116","61,680","12,625","70,053"
1971 (13),"53,296","10,285","58,780","11,583","66,198"
1970,"52,227","9,867","58,862","11,106","66,254"
1969,"51,586","9,433","59,045","10,577","66,206"
1968,"50,823","8,632","56,441","9,670","63,228"
1967 (12),"50,111","7,933","53,905","8,801","59,803"
1966 (11),"49,214","7,532","52,779","8,395","58,827"
1965 (10),"48,509","6,957","50,132","7,704","55,515"
1964,"47,956","6,569","48,063","7,336","53,675"
1963,"47,540","6,249","46,345","6,998","51,900"
1962 (9),"47,059","5,956","44,782","6,670","50,150"
1961 (8),"46,418","5,735","43,549","6,471","49,138"
1960,"45,539","5,620","43,106","6,227","47,761"
1959,"45,111","5,417","42,228","5,976","46,586"
1958,"44,232","5,087","39,983","5,565","43,740"
1957,"43,696","4,966","40,107","5,443","43,959"
1956,"43,497","4,780","39,872","5,341","44,551"
1955,"42,889","4,418","37,425","4,962","42,034"
1954,"41,951","4,167","35,143","4,684","39,503"
1953,"41,202","4,242","36,095","4,706","40,043"
1952 (7),"40,832","3,890","33,323","4,457","38,180"
1951,"40,578","3,709","32,354","4,194","36,585"
1950,"39,929","3,319","31,240","3,815","35,908"
1949 (6),"39,303","3,107","29,610","3,569","34,013"
1948,"38,624","3,187","29,997","3,671","34,553"
1947 (5),"37,237","3,031","30,811","3,546","36,046"
Married-Couple Families,,,,,
"Type of family
and year",Number (thousands),Median income,,Mean income,
,,"Current
dollars","2020
dollars","Current
dollars","2020
dollars"
2020,"61,463","101,240","101,240","133,562","133,562"
2019,"62,355","102,032","103,306","134,442","136,120"
2018,"61,971","93,329","96,206","121,827","125,583"
2017 (40),"61,883","91,105","96,203","119,590","126,282"
2017,"61,254","90,148","95,192","115,655","122,127"
2016,"60,821","86,811","93,640","112,007","120,818"
2015,"60,258","84,324","92,130","107,229","117,156"
2014,"60,015","80,814","88,448","103,313","113,072"
2013 (39),"59,643","78,614","87,497","101,990","113,514"
2013 (38),"59,692","76,339","84,965","98,081","109,163"
2012,"59,224","75,535","85,315","96,166","108,618"
2011,"58,963","73,790","85,110","93,951","108,363"
2010 (37),"58,667","72,241","85,950","90,514","107,690"
2009 (36),"58,428","71,627","86,625","90,733","109,732"
2008,"59,137","72,743","87,669","91,452","110,217"
2007,"58,395","72,589","90,843","90,267","112,967"
2006,"58,964","69,404","89,321","88,600","114,025"
2005,"58,189","65,906","87,568","83,570","111,038"
2004 (35),"57,983","63,626","87,403","80,398","110,442"
2003,"57,725","62,281","87,866","78,275","110,431"
2002,"57,327","61,130","88,201","76,349","110,160"
2001,"56,755","60,335","88,426","76,008","111,397"
2000 (30),"56,598","59,099","89,081","74,230","111,888"
1999 (29),"56,290","56,501","88,055","70,727","110,225"
1998,"54,778","54,180","86,236","67,875","108,033"
1997,"54,321","51,591","83,227","64,678","104,339"
1996,"53,604","49,707","81,921","61,214","100,885"
1995 (25),"53,570","47,062","79,627","58,377","98,772"
1994 (24),"53,865","44,959","77,902","55,944","96,936"
1993 (23),"53,181","43,005","76,072","53,472","94,587"
1992 (22),"53,090","41,890","75,968","49,755","90,231"
1991,"52,457","40,995","76,194","48,480","90,105"
1990,"52,147","39,895","76,847","47,528","91,550"
1989,"52,317","38,547","77,912","45,995","92,966"
1988,"52,100","36,389","76,765","42,801","90,292"
1987 (21),"51,675","34,879","76,238","40,818","89,219"
1986,"51,537","32,805","74,171","38,672","87,436"
1985 (20),"50,933","31,100","71,547","36,267","83,434"
1984 (19),"50,350","29,612","70,463","34,156","81,275"
1983,"50,090","27,286","67,630","31,467","77,992"
1982,"49,908","26,019","67,244","29,992","77,512"
1981,"49,630","25,065","68,690","28,253","77,427"
1980,"49,294","23,141","69,405","26,128","78,363"
1979 (18),"49,112","21,429","71,467","24,222","80,782"
1978,"47,692","19,340","70,617","21,804","79,614"
1977,"47,385","17,616","68,733","19,798","77,247"
1976 (17),"47,497","16,203","67,210","18,206","75,518"
1975 (16),"47,318","14,867","65,216","16,693","73,226"
1974 (16)(15),"47,069","13,923","66,095","15,767","74,849"
1973,"46,812","13,028","68,031","14,594","76,209"
1972 (14),"46,314","11,903","66,047","13,477","74,781"
1971 (13),"45,752","10,990","62,809","12,336","70,502"
1970,"44,739","10,516","62,734","11,774","70,239"
1969,"44,436","10,001","62,601","11,187","70,024"
1968,"43,841","9,144","59,789","10,222","66,838"
1967 (12),"43,292","8,441","57,357","9,508","64,607"
1966 (11),"42,553","7,838","54,924",N,N
1965 (10),"42,108","7,265","52,352",N,N
1964,"41,647","6,932","50,719",N,N
1963,"41,311","6,593","48,896",N,N
1962 (9),"40,923","6,263","47,090",N,N
1961 (8),"40,405","6,037","45,843",N,N
1960,"39,624","5,873","45,046",N,N
1959,"39,335","5,662","44,138",N,N
1958,"38,585","5,315","41,775",N,N
1957,"38,112","5,157","41,649",N,N
1956,"37,849","4,973","41,482",N,N
1955,"37,200","4,599","38,959",N,N
1954,"36,395","4,333","36,543",N,N
1953,N,"4,371","37,193",N,N
1952 (7),"35,782","4,061","34,788",N,N
1951,"35,196","3,837","33,471",N,N
1950,"34,556","3,446","32,435",N,N
1949 (6),"34,291","3,195","30,448",N,N
1948,"33,538","3,272","30,797",N,N
1947 (5),"32,288","3,109","31,604",N,N
"Male Householder, No Spouse Present",,,,,
"Type of family
and year",Number (thousands),Median income,,Mean income,
,,"Current
dollars","2020
dollars","Current
dollars","2020
dollars"
2020,"6,964","60,216","60,216","77,368","77,368"
2019,"6,506","61,705","62,475","79,759","80,755"
2018,"6,485","54,336","56,011","73,258","75,516"
2017 (40),"6,351","51,695","54,588","68,754","72,601"
2017,"6,424","52,950","55,913","71,546","75,549"
2016,"6,452","51,568","55,625","72,387","78,081"
2015,"6,311","49,772","54,380","67,059","73,267"
2014,"6,162","47,597","52,093","62,319","68,206"
2013 (39),"6,497","47,191","52,523","64,360","71,632"
2013 (38),"6,330","44,475","49,500","61,392","68,329"
2012,"6,231","42,358","47,843","56,816","64,173"
2011,"5,888","43,069","49,676","57,394","66,198"
2010 (37),"5,649","43,206","51,405","56,786","67,562"
2009 (36),"5,582","41,501","50,191","55,237","66,803"
2008,"5,255","43,571","52,511","56,808","68,464"
2007,"5,103","44,358","55,513","55,844","69,888"
2006,"5,067","41,844","53,852","55,030","70,822"
2005,"5,134","41,111","54,624","54,511","72,428"
2004 (35),"4,901","40,361","55,444","51,831","71,200"
2003,"4,717","38,032","53,656","49,728","70,157"
2002,"4,663","37,739","54,452","48,405","69,841"
2001,"4,440","36,590","53,626","47,258","69,261"
2000 (30),"4,277","37,727","56,866","52,318","78,860"
1999 (29),"4,099","37,339","58,191","48,845","76,123"
1998,"3,977","35,681","56,792","43,913","69,894"
1997,"3,911","32,960","53,171","42,546","68,635"
1996,"3,847","31,600","52,079","40,013","65,944"
1995 (25),"3,513","30,358","51,365","37,238","63,005"
1994 (24),"3,228","27,751","48,085","34,663","60,062"
1993 (23),"2,914","26,467","46,818","33,585","59,409"
1992 (22),"3,065","27,576","50,009","34,070","61,786"
1991,"3,025","28,351","52,693","34,611","64,328"
1990,"2,907","29,046","55,949","34,685","66,811"
1989,"2,884","27,847","56,285","34,756","70,249"
1988,"2,847","26,827","56,594","32,501","68,563"
1987 (21),"2,834","25,208","55,099","30,786","67,291"
1986,"2,510","24,962","56,438","29,472","66,635"
1985 (20),"2,414","22,622","52,043","27,525","63,322"
1984 (19),"2,228","23,325","55,502","27,037","64,335"
1983,"2,030","21,845","54,144","24,949","61,837"
1982,"2,016","20,140","52,050","22,907","59,201"
1981,"1,986","19,889","54,505","22,607","61,954"
1980,"1,933","17,519","52,543","20,820","62,444"
1979 (18),"1,733","16,808","56,056","20,047","66,858"
1978,"1,655","15,966","58,297","18,784","68,587"
1977,"1,594","14,518","56,645","16,355","63,813"
1976 (17),"1,500","12,860","53,343","14,733","61,112"
1975 (16),"1,444","12,995","57,005","14,686","64,422"
1974 (16)(15),"1,399","11,658","55,343","13,343","63,342"
1973,"1,438","10,742","56,094","12,219","63,807"
1972 (14),"1,453","10,305","57,180","11,657","64,682"
1971 (13),"1,353","8,722","49,847","9,911","56,643"
1970,"1,258","9,012","53,762","10,476","62,495"
1969,"1,221","8,340","52,204","9,662","60,479"
1968,"1,229","7,321","47,869","8,185","53,518"
1967 (12),"1,210","6,814","46,301","7,899","53,674"
1966 (11),"1,197","6,432","45,071",N,N
1965 (10),"1,179","6,148","44,303",N,N
1964,"1,182","5,792","42,378",N,N
1963,"1,243","5,710","42,347",N,N
1962 (9),"1,334","5,711","42,940",N,N
1961 (8),"1,293","5,069","38,492",N,N
1960,"1,202","4,860","37,276",N,N
1959,"1,233","4,613","35,961",N,N
1958,"1,285","4,260","33,483",N,N
1957,"1,292","4,581","36,997",N,N
1956,"1,230","4,167","34,758",N,N
1955,"1,404","4,190","35,494",N,N
1954,"1,314","4,014","33,853",N,N
1953,N,"4,113","34,997",N,N
1952 (7),"1,396","3,615","30,967",N,N
1951,"1,216","3,452","30,112",N,N
1950,"1,226","3,115","29,319",N,N
1949 (6),"1,265","2,821","26,884",N,N
1948,"1,287","3,295","31,014",N,N
1947 (5),"1,234","2,936","29,845",N,N
"Female Householder, No Spouse Present",,,,,
"Type of family
and year",Number (thousands),Median income,,Mean income,
,,"Current
dollars","2020
dollars","Current
dollars","2020
dollars"
2020,"15,491","43,895","43,895","58,066","58,066"
2019,"14,838","43,359","43,900","58,535","59,266"
2018,"15,052","40,233","41,473","55,190","56,891"
2017 (40),"15,305","36,816","38,876","51,319","54,191"
2017,"15,425","37,098","39,174","51,837","54,738"
2016,"15,581","36,658","39,542","50,509","54,482"
2015,"15,630","34,126","37,285","46,895","51,236"
2014,"15,553","31,770","34,771","43,107","47,179"
2013 (39),"16,176","31,131","34,649","44,233","49,231"
2013 (38),"15,195","31,408","34,957","41,772","46,492"
2012,"15,489","30,686","34,659","42,371","47,857"
2011,"15,678","30,259","34,901","41,194","47,513"
2010 (37),"15,243","29,155","34,688","38,638","45,970"
2009 (36),"14,857","29,770","36,004","39,330","47,565"
2008,"14,482","30,129","36,311","39,660","47,798"
2007,"14,411","30,296","37,915","40,708","50,945"
2006,"14,424","28,829","37,102","39,012","50,207"
2005,"14,095","27,244","36,199","37,766","50,179"
2004 (35),"13,981","26,969","37,047","35,385","48,608"
2003,"13,791","26,550","37,457","34,354","48,467"
2002,"13,626","26,423","38,124","33,864","48,861"
2001,"13,146","25,745","37,732","34,004","49,836"
2000 (30),"12,903","25,716","38,762","33,139","49,951"
1999 (29),"12,818","23,762","37,032","31,123","48,504"
1998,"12,796","22,163","35,276","28,990","46,142"
1997,"12,652","21,023","33,914","27,954","45,095"
1996,"12,790","19,911","32,815","26,196","43,173"
1995 (25),"12,514","19,691","33,317","25,249","42,720"
1994 (24),"12,220","18,236","31,598","24,105","41,767"
1993 (23),"12,411","17,443","30,855","23,635","41,808"
1992 (22),"12,061","17,025","30,875","22,441","40,697"
1991,"11,692","16,692","31,024","21,946","40,789"
1990,"11,268","16,932","32,615","22,140","42,647"
1989,"10,890","16,442","33,233","21,730","43,921"
1988,"10,890","15,346","32,374","20,144","42,495"
1987 (21),"10,696","14,683","32,094","19,489","42,599"
1986,"10,445","13,647","30,855","17,743","40,116"
1985 (20),"10,211","13,660","31,425","17,647","40,598"
1984 (19),"10,129","12,803","30,465","16,501","39,265"
1983,"9,878","11,789","29,220","15,052","37,307"
1982,"9,469","11,484","29,679","14,635","37,823"
1981,"9,403","10,960","30,036","13,773","37,745"
1980,"9,082","10,408","31,216","12,953","38,849"
1979 (18),"8,705","9,880","32,951","12,014","40,068"
1978,"8,458","8,537","31,171","10,689","39,029"
1977,"8,236","7,765","30,297","9,811","38,280"
1976 (17),"7,713","7,211","29,911","9,058","37,572"
1975 (16),"7,482","6,844","30,022","8,463","37,124"
1974 (16)(15),"7,230","6,488","30,800","8,106","38,481"
1973,"6,804","5,797","30,271","7,228","37,744"
1972 (14),"6,607","5,342","29,641","6,862","38,076"
1971 (13),"6,191","5,114","29,227","6,388","36,508"
1970,"5,950","5,093","30,383","6,213","37,064"
1969,"5,580","4,822","30,183","5,915","37,025"
1968,"5,439","4,477","29,273","5,549","36,283"
1967 (12),"5,333","4,294","29,178","5,305","36,048"
1966 (11),"5,172","4,010","28,099",N,N
1965 (10),"4,992","3,532","25,452",N,N
1964,"5,006","3,458","25,301",N,N
1963,"4,882","3,211","23,814",N,N
1962 (9),"4,741","3,131","23,541",N,N
1961 (8),"4,643","2,993","22,728",N,N
1960,"4,609","2,968","22,765",N,N
1959,"4,494","2,764","21,547",N,N
1958,"4,332","2,741","21,544",N,N
1957,"4,310","2,763","22,315",N,N
1956,"4,366","2,754","22,972",N,N
1955,"4,239","2,471","20,932",N,N
1954,"4,225","2,294","19,347",N,N
1953,N,"2,455","20,889",N,N
1952 (7),"3,842","2,235","19,146",N,N
1951,"4,030","2,220","19,365",N,N
1950,"4,040","1,922","18,091",N,N
1949 (6),"3,637","2,103","20,042",N,N
1948,"3,713","2,064","19,427",N,N
1947 (5),"3,757","2,172","22,079",N,N
